Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxStdErrRelative;MinInvokeCount;MinIterationTime;RemoveOutliers;Affinity;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;RetainVm;Server;Clock;EngineFactory;Toolchain;InvocationCount;IterationTime;LaunchCount;RunStrategy;TargetCount;UnrollFactor;WarmupCount;TestFile;Mean;StdErr;StdDev
Dictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;10000 items seed 9673754.json;638.9563 us;1.1352 us;4.3965 us
ConcurrentDictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;10000 items seed 9673754.json;"3,527.1465 us";7.6343 us;29.5676 us
LockFreeArrayBasedDictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;10000 items seed 9673754.json;"5,632.4727 us";8.7928 us;32.8996 us
Dictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100000 items seed 42.json;"11,796.9895 us";18.0418 us;67.5062 us
ConcurrentDictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100000 items seed 42.json;"49,266.9954 us";157.5800 us;610.3047 us
LockFreeArrayBasedDictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;100000 items seed 42.json;"85,577.4975 us";"1,015.6368 us";"10,105.4587 us"
Dictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;1000000 items seed 339826.json;"279,284.2963 us";613.7622 us;"2,296.4879 us"
ConcurrentDictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;1000000 items seed 339826.json;"917,123.8576 us";"2,021.4094 us";"7,828.8851 us"
LockFreeArrayBasedDictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;1000000 items seed 339826.json;"1,471,515.0260 us";"13,582.3772 us";"50,820.6022 us"
Dictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;500000 items seed 1925388.json;"114,391.0929 us";115.7340 us;433.0371 us
ConcurrentDictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;500000 items seed 1925388.json;"423,595.8821 us";"1,323.8074 us";"5,127.0840 us"
LockFreeArrayBasedDictionary;Default;False;Default;Default;Default;Default;Default;255;LegacyJit;X86;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;500000 items seed 1925388.json;"700,369.4896 us";"7,325.6767 us";"28,372.2239 us"
